,no.overall,no. inseason,title,original air date,u.s. viewers(millions),description,posix time,show,season
0,182,1,"""season premiere: limo arrivals""","january 5, 2015 (2015-01-05)",7.76,"
the first hour of the episode consists of a live red carpet event in los angeles hosted by chris harrison, and attended by fans of the show as well as former the bachelor and the bachelorette contestants. chris interviews seven former contestants: sean and catherine lowe, marcus grodd and lacy faddoul, andi dorfman and josh murray, and nikki ferrell.
notable arrivals in the mansion are reegan, a cadaver tissue saleswoman (known as ""donated tissue specialist"" in the show credits), brings a (fake) human heart. tara comes in shorts, flannel, and cowboy boots, then changes into a dress. amber presents a teddy bear, and nikki tells chris that she arrived at the mansion straight from her trip in peru, when tara comes back into the limo to reintroduce herself to chris. amanda calls the limo driver to give an envelope to chris and does not give her name; she makes chris close his eyes and tells him she is his secret admirer, echoing how chris introduced himself to andi. chris spends time with the initial 15 women, leading them to believe that there would be only 15 contestants, harrison called chris out before the second batch of women arrived.
more notable arrivals like nicole wears a pig nose. tandra rides a motorcycle. alissa, a flight attendant, performs a seat belt demonstration. jordan presents with a little bottle of whiskey and gives a toast with chris. brittany wears a white lace dress and shows #soulesmates on the placard. carly, a cruise ship singer, sings a song with a portable karaoke machine. tracy, a teacher, brings a note from her students. in total, 30 women are introduced, rather than the traditional 25.
during the cocktail party, kaitlyn, the dance instructor, teaches chris a dance move. ashley s. wishing to illustrate a point with an onion, eventually finds a pomegranate. britt receives the first impression rose.

rose ceremony: tara, having had too much to drink, becomes wobbly at the ceremony. chris takes notice but ultimately decides to give her a second chance. nicole, amanda, brittany, kara, bo, reegan, michelle and kimberly were all sent home, and a somber kimberly returns to the house and asks for chris, ending the episode.",1420434000,bachelor,23
1,183,2,"""week 2: tractor race""","january 12, 2015 (2015-01-12)",6.48,"
kimberly convinced chris to give her another chance.
first group date:  ""show me your country..."" jade, tandra, ashley i., mackenzie, kimberly, and tara. the girls and chris have a pool party. during this time, megan and jillian sneak off to chris's house. megan wears his motorcycle helmet and rams her head into several objects before determining that it's safe. later, the group walks down the streets of los angeles in their bathing suits. they find a line of tractors and chris tells the girls that they're going to race. the tractors take off slowly, but ashley i. eventually wins the race, winning some alone time with chris as well. halfway through the date, chris announces to the girls that the date will continue as a one-on-one. he invites mackenzie to come with him while the other five go home. while the date starts off a little strangely, it ends well with chris giving her the rose.
the rest of the women are back at the house where they bond and wait for the next date card. juelia tells the women that she has a daughter and was married, but her husband died.
one-on-one: ""love is a natural wonder..."" megan. the two fly to las vegas, nevada and get into a helicopter. they fly over the grand canyon, land, and have a picnic on the colorado river. they have a heart-to-heart and megan tells chris about her father who had recently had a heart attack that caused him to go brain dead. chris tells her that she has affected him ever since the first night. he gives her the rose.
second group date: ""til death do us part..."" kelsey, trina, alissa, tracy, jillian, becca, amber, ashley s., juelia, kaitlyn, and britt. the limo drives up to a creepy-looking area in the middle of nowhere. it appears that the girls are at a haunted house as they are attacked by ""zombies"" at their limo. when chris opens the door, the girls scream even louder. when they get out, chris explains that the group is splitting up into three teams and killing zombies with paintballs. at the dinner afterwards, the group talk about ashley s. and they are concerned with how strange she is. during their alone time, it is evident that chris feels the same way. during his alone time with britt, chris gives her a card that says ""free kiss from chris"" to show her that he was thinking about her. kaitlyn receives the rose.
back at the house, jordan was jealous who didn't get a date, begins an antic when she became drunk and shows up twerking upside down with the other women at the bathroom wearing face masks. beside with jordan; carly, whitney, nikki, and samantha were the other four who also not given a date this week either.

cocktail party: whitney gives chris a bottle of his favorite whiskey with high hopes that she'll be back on his radar. they share a toast by the fireplace. ashley i. admits to some of the other girls that she is a virgin, something that she's not ready to tell chris quite yet. jordan has had too many drinks and is drunk when she talks to chris and he is visibly uncomfortable. at the rose ceremony, britt received the rose, and ashley s. went last once again, alissa, jordan, tandra and tara were eliminated, along with kimberly, who felt emotional on being sent home once again.",1421038800,bachelor,23
2,184,3,"""week 3: guest host jimmy kimmel""","january 19, 2015 (2015-01-19)",7.61,"
the episode starts with jimmy kimmel surprising chris and the women. he presents the first date card to the group, telling them that he will be planning the dates for the week. chris is also in the dark for what the dates will entail.
first one-on-one date: kaitlyn. jimmy sends them to costco to pick up some groceries for him, including several cases of ketchup, chairs, tables, and paper towels. they go back to chris's house and they cook dinner together. while they're sitting on a couch in the back, kissing, jimmy shows up. the three have dinner together in chris's backyard. kaitlyn receives the rose.
group date: britt, jillian, becca, tracey, mackenzie, kelsey, amber, ashley s., juelia, samantha, nikki, and carly. jimmy takes them to visit with some ""real party animals"". there will be a relay sort of activity that involves different animals including filling a wheelbarrow with manure, drinking goat milk, and wrestling a greased pig. despite her being lactose intolerant, carly wins the relay. after, jimmy takes a picture of carly and chris dressed up like the couple in the painting, american gothic. at the dinner afterwards, carly, steals chris away for the first alone time. becca receives the rose.
second one-on-one date: whitney. they go and have a picnic where they see a wedding taking place below. whitney suggests that they crash the wedding, so they go back and change into nicer clothes and then crash the wedding. their story, just in case anyone recognized chris, is that the two of them became engaged on the bachelor. chris is nervous about pretending to belong at the wedding, but he is blown away by whitney's ability to make up a story to make it seem like they knew the bride and groom. whitney receives the rose.
the women who didn't get a date this week were ashley i., jade, megan, and trina.
in place of a cocktail party, the group has a pool party. there, juelia opens up to chris about her late husband's suicide. jade, concerned that she hasn't gotten much alone time with chris, asks him to give her a tour of his house. during this time, jillian decides to go to his house, get into his hot tub, and wait for him. when other women try to talk to chris, jillian continues to monopolize his time. eventually, he takes ashley i. aside to talk to her privately because of how upset she seemed with jillian. they kiss on the roof. while everyone is sitting together by the pool, chris harrison comes in and tells them that it's time for the rose ceremony. chris goes off to prepare.

rose ceremony: jade is surprised to receive a rose; amber, tracy and trina were all sent home.",1421643600,bachelor,23
3,185,4,"""week 4: camping""","january 26, 2015 (2015-01-26)",7.95,"
the episode begins with chris harrison entering the mansion, making some intentions with chris and holds the date card for the upcoming date.
first group date: megan, kaitlyn, ashley i., ashley s., juelia, samantha, mackenzie and kelsey. the date card says, ""do what feels natural..."" they meet with chris who takes them to lake piru for a camping trip that includes a fun day swimming and playing games at the lake. ashley i. and kaitlyn take off their bikini top and bottoms, respectively, when they jump in the lake. this disgusts kelsey, who calls this indecent behavior for a group date. kelsey is also overall uninterested in camping at the lake and pouts for most of the date. at night, the women comment on ashley s.'s continuing strange behavior, comparing her stares and tone of voice to that of someone in a horror movie. as everyone settles in for bed, ashley i. goes to chris's tent and admits to him that she has never had a boyfriend before, unsuccessfully hinting that she is a virgin. kaitlyn receives the rose.
meanwhile, the rest of the women are back at the house, awaiting an invitation for the one-on-one date, which will be chosen by chris's three sisters after a personal interview with each contestant. after talking with everyone, chris's sisters chose jade for a masquerade ball-themed date taking place the following evening from 8 pm to 12 am.
one-on-one date: jade. after jade received the envelope from chris's sisters, a makeup crew surprises her at the house, personally styling her with fashionable hair, makeup, and a ballgown inspired by the movie cinderella and, like titular character, escort her to a grand ball. there, jade and chris talk over dinner and wine, and they connect over shared experiences--they both have been previously engaged. jade receives the rose, and she and chris end the night by dancing in a ballroom surrounding by a professional orchestra.
meanwhile at the house, ashley i. expresses her frustration over not being chosen for this specific one-on-one date, because she wants to dress up like a princess and have a formal date with chris. she dresses up in the formal gown that she brought purposefully for a princess-themed date and drinks wine.
second group date: nikki, jillian, whitney, carly, britt, becca. the women on this group date each receive a package containing a wedding dress that won't be going for a walk down the aisle. the women board a private plane and fly to san francisco where they are taken to a muckfest ms obstacle course location. there, they have to race each other through a wet, muddy course while wearing the wedding dresses. whoever wins goes on a one-on-one date with chris in san francisco for the rest of the night. jillian easily wins, sending the other women back to the house. during chris and jillian's dinner date at fairmont san francisco jillian spends most of the time talking about herself.  the date is cut short when chris makes the decision to send jillian home, stating that they lacked romantic connection during one-on-one time.

cocktail party: ashley i., not confident that chris understood her hint during first group date, goes to him directly to say that she is a virgin. afterward, she regrets telling him, feeling like he was ""freaked out"" by her confession. ashley i. then informs all of the other women that she is a virgin, and learns that becca has not had sex, either. at the rose ceremony, chris tells the ladies that he made difficult and tough decisions tonight. whitney's name is called first, and britt is named last. ashley s., juelia and nikki are sent home. chris accompanies juelia out and tells her how proud he is for her journey in the competition and encourages her that she's making her daughter proud.",1422248400,bachelor,23
4,186,5,"""week 5: santa fe""","february 2, 2015 (2015-02-02)",8.45,"
first one-on-one date: carly. chris takes carly to a house where they find a ""love and intimacy mentor"" meditating in the backyard. chris says that his relationship with carly is more like a friendship and if this woman can't bring out the romance, the relationship is over. various aspects of the date make both of them feel uncomfortable. however, in the end, they both felt more connected with each other and bonded. they go to dinner later and open up to each other.
group date: jade, meghan, kaitlyn, whitney, mackenzie, becca, samantha, ashley i., kelsey. chris takes the group of women white-water rafting in rio grande. jade falls into the water and, because of a condition that causes her to have hypothermia at regular temperatures, chris rubs her feet warm, causing much jealousy among the other girls.
at the hotel where the afterparty takes place, jordan, who was let go two weeks prior, shows up, asking chris for some alone time to talk and get to know her. he brings her back to the afterparty, much to the rest of the group's dismay. ultimately, chris sends jordan back home and gives the rose to whitney.
second one-on-one: britt. chris goes into britt's room at 4:30 in the morning. he takes britt, who has acrophobia, on a hot air balloon ride. after, they go back to his hotel room, where he gives her the rose. they start kissing in chris's bed before he closes the doors on the cameras.
before the cocktail party and rose ceremony, kelsey goes to chris's hotel room and tells him the story of how she was widowed.
cocktail party: the girls, even those with roses, are all worried, except for kelsey, who is overly confident, despite her lack of rose. chris comes in to talk to the women and tells them that it's been a particularly tough week before excusing himself. he reveals that kelsey came to talk to him, which becomes an awkward moment with the rest of the group. kelsey states that chris has his mind already made up, although everyone else is skeptical. after a while, chris harrison comes back and announces that chris knows what he's going to do and they will be skipping the cocktail party.

all of the sudden, kelsey leaves the room and collapses on the floor in a panic attack. the episode ends with a cliffhanger, with the fate of rose ceremony.",1422853200,bachelor,23
5,187,6,"""week 6: deadwood, sd""","february 9, 2015 (2015-02-09)",8.7,"
kelsey recovers from her panic attack and goes to talk to chris. the other ladies are convinced that kelsey faked the panic attack to manipulate chris and are united in their dislike for her. the rose ceremony resumes with kelsey receiving the last rose, while mackenzie and samantha are eliminated. the remaining ladies find out that they're heading to deadwood, south dakota.
one-on-one date: becca. chris and becca go horseback riding and have a cookout in the woods. during the closing credits we find out that they also did some gun shooting.  chris is very impressed with becca.  becca is nervous about the possibility of a first kiss, particularly if her father is watching.  chris and becca do indeed kiss and chris gives becca the rose.
group date: meghan, carly, britt, whitney, jade, and kaitlyn.  the ladies meet country duo big & rich and must write love songs to sing to chris. after the singing, chris tells britt he has a surprise and takes her from the group date to the big & rich concert where he takes britt on stage and gives her a rose. an hour later, they return to the group date where the girls are upset that chris and britt were away together.
two-on-one date: kelsey and ashley i. tensions are running high between the two girls; both are convinced they will get the rose and both are upset with the antics of the other. chris takes ashley i. away in the beginning and asks her what it's like in the house. ashley i. admits that kelsey doesn't get along with the other girls and that they feel she is fake. chris then tells kelsey what ashley i. said about her, sparking a fight between the two girls. ashley i. pulls chris away, is upset and begins to cry. chris says that he doesn't see her fitting into his world and doesn't see them together, so he sends her home. chris then tells kelsey that he sent ashley i. home, which means that kelsey would normally stay. however, he then tells kelsey that he doesn't see a future with her either and doesn't want to keep her here longer if he doesn't see her as his wife.

back at the hotel, the ladies are shocked to see ashley's suitcase being taken away, but later celebrate when they see kelsey's suitcase taken away as well.",1423458000,bachelor,23
6,188,7,"""week 7: iowa""","february 15, 2015 (2015-02-15)",6.05,"
prior to the rose ceremony, megan confronts chris about the fact that their relationship isn't moving forward.  chris agrees with her assessment and indicates that this is not likely to change, so megan decides to leave.  chris harrison then announces that only one lady will be eliminated at the rose ceremony.  however, chris declares that he has strong feelings for all six and decides not to eliminate any of them.  he invites them all to come to his home state of iowa.
first one-on-one date: jade and chris travel to chris' hometown of arlington and visit his house, farm and various landmarks around the town.  chris notes the fact that most of the businesses in arlington have closed, and there are no real bars or restaurants in town, but it is home to him.  they attend a high school football game at starmont high school (his alma mater) and meet his parents.
second one-on-one date: whitney and chris go to des moines.  they visit a museum and are given a camera to record images of loving moments taken around town.  they select one image as the best.  later they visit a restaurant and talk with some of chris' friends.  at the end of the evening a wall mural based on their photo is unveiled near the restaurant.
after hearing jade's description of arlington, carly, kaitlyn, becca and britt decide to take a road trip and see it for themselves.  they get the impression that it is very small and all the buildings seem to be locked.  they ask a local where the nearest restaurant is and he says it is an hour away in cedar rapids.  after returning, britt remarks to the others that she could never live in such a place.  however, later she tells chris that she had a wonderful time in arlington.
just before the start of the group date, jade finally confesses to carly that she posed nude for playboy. carly is stunned but supportive, and encourages jade to tell chris.

group date: carly, kaitlyn and britt join chris to play ice hockey at wells fargo arena.  carly privately tells chris that britt said she could not live in arlington and that he should be careful.  chris gives britt another chance to change her story; britt admits that she didn't like arlington at first, but that she thinks she could make it work. kaitlyn tells chris she is feeling insecure about their relationship; chris reassures her by giving her the group date rose.   britt pouts about not getting the rose and tells chris that she's not sure whether she wants to take chris to meet her family. chris feels manipulated and ends the date.  carly gloats to the others about britt's meltdown.",1423976400,bachelor,23
7,189,8,"""week 8: hometown dates""","february 16, 2015 (2015-02-16)",8.97,"
week 7 one-on-one date: becca visited the loft apartment where chris was staying while in des moines and they had a chance to relax and talk.  she tells him that she has never brought anyone home to meet her parents.
back at the house, britt tells the others that she feels she needs to leave, but they are skeptical that she will actually go through with it. britt resolves to tell chris during the cocktail party that she is leaving. however, chris harrison announces that chris has decided not to have the cocktail party because his mind is made up. jade is also disappointed that she will not be able to share her secret with chris.
week 7 rose ceremony: before chris can hand out the first rose, britt asks to speak with him privately. during the discussion chris points out that there have been several instances where she seems to have been lying to him, which has led him to decide that he can't continue a relationship with her. she sits outside and sobs and the others feel that she is finally getting a taste of the real world. back at the ceremony, chris says that he appreciates their feedback and if they will be honest with him, he will be honest with them. carly does not get a rose and is eliminated. chris and the final four move on to the hometown dates.
becca: her hometown date begins in shreveport, louisiana. her family tells chris that she had never been in a serious relationship before, and that they are surprised by how close they seem to be. becca's sister tells becca that she is worried how chris will react to her virginity if they reach the fantasy suite. chris worries about whether becca is capable of being close with anyone, but decides that it worth it to be the one that she's waiting for.  the evening ends on a high note, as chris takes becca for a ride on the ferris wheel at the louisiana state fair.
whitney: next is whitney's date in chicago, illinois.  first she showed him the fertility clinic where she works.  then they go to dinner with her family in her apartment. whitney's sister was a bit skeptical of the process and whitney asks her not to ruin it for her. chris asks her sister for her blessing to propose to whitney and she said she would withhold her blessing until whitney was the only one remaining. at the end of the evening whitney opened and shared an expensive bottle of wine with chris to celebrate the occasion.
kaitlyn: kaitlyn's date takes place in phoenix, arizona instead of her native canada, since that is where her parents spend the winter. she and chris go to a record studio and produce a rap song about their experiences so far. then they go to her house and meet with her parents, her step-parents, and her sister. her mother tells chris that kaitlyn may be protecting her heart because she had a previous relationship that ended badly. afterwards, kaitlyn takes chris out and shows him a huge ""kaitlyn [hearts] chris"" billboard which she had arranged.
jade: last, jade's hometown date is in gering, nebraska. she meets chris at her house and introduces her father, her father's fiance, her brothers and her mother. jade's father and brother both tell chris that jade has a history, although give few details.  her father warns him that her previous boyfriends found her too much to handle and her brother says she is a free spirit and a wild mustang, but that she might be able to settle down. chris is puzzled, because he has never seen this side of her. later that evening, they go to the motel where chris is staying and jade finally gets a chance to share her secret.  she shows her playboy photos and video to chris, who is initially shocked but decides that he will not judge her for her past and that this will not affect their relationship.

rose ceremony: the rose ceremony takes place in dubuque, iowa. chris is not thrilled with having to make a very hard decision about who to send home. he gives the roses to whitney, kaitlyn and becca, sending jade home.  chris reassures jade that her revelation did not play a role in his decision.  chris sits on the curb and cries as jade's limo drives away.",1424062800,bachelor,23
8,190,9,"""week 9: bali""","february 23, 2015 (2015-02-23)",8.97,"
chris and the final three ladies travel to the island of bali in indonesia.
kaitlyn: kaitlyn and chris wander through bali, meeting people on the street and talking with them.  they have an encounter in a park with monkeys, who climb on their backs when they hold up bananas.  later, they decide to go to the fantasy suite, where kaitlyn opens up about her feelings and he says he's starting to fall in love with her, too.
whitney: chris and whitney take a boat ride over the ocean.  whitney is worried that her sister's refusal to give chris her blessing will ruin her chances with him, so chris reassures whitney that her sister's disapproval doesn't change how he feels about her.  they jump in the ocean together and lounge on the deck until sundown. later, chris and whitney discuss arlington, iowa.  whitney says she's not happy not being a wife and mother, so she would be willing to leave her career to be with him in arlington without regret.  they both decide to go to the fantasy suite.
becca: chris and becca visit a bali village, drinking from fruit and walking through forests.  they interact with the kids in the village and visit a temple.  at the temple, they ask questions about their relationship and future.  they talk near a river and then kiss in it.  becca tells him she thinks she's falling in love with him and he tells her he is, too.  when they pull out the fantasy suite card they decide to go to the fantasy suite together.  while in the fantasy suite, becca confesses to chris that she's a virgin.  chris is flustered but says he respects her for it.
after the fantasy suite: chris says he woke up after the fantasy suite with becca and they had a very serious conversation that worried him about their future.  he says she's not completely confident about her feelings and a future in iowa.  he tears up when thinking about everything, and what he's going to do because his decision isn't clear and he's going to have to send someone home that he's falling in love with.  chris talks with chris harrison about his struggling choice.

rose ceremony: before the rose ceremony starts chris pulls becca aside to talk.  she tells him she has strong feelings for him and he struggles with his emotions as he tries to describe how he feels about her.  meanwhile, kaitlyn and whitney discuss how they think becca is going home and kaitlyn is happy about the thought.  when chris returns with becca the other girls are shocked and worried.  chris calls out whitney first then becca, and he walks kaitlyn out, holding her hand.  he tells her he can't explain why he's sending her home and he really cares about her and it wasn't an easy decision for him.  in the car, kaitlyn is confused about her feelings and upset that she let her guard down.  she's also very upset with chris for not telling her why she being eliminated.",1424667600,bachelor,23
9,191,10,"""the women tell all""","march 2, 2015 (2015-03-02)",8.15,"
seventeen of the twenty-eight eliminated contestants sat down for the show in particular order: nikki, trina, juelia, tara, amber, megan, samantha, jordan, ashley s., jillian, kelsey, britt, mackenzie, ashley i., jade, carly and kaitlyn.
some of the eliminated contestants took turns in the hot seat. highlights included britt confronting carly causing an argument lead from the other ladies, kelsey confronts ashley i. on a controversial two-on-one date that gives reaction to the others, she also reflects on her late husband's death. chris harrison extended an invitation to ashley s. and brings a souvenir of pomegranate which she found back in the first week to him, later harrison suggests her to appear in the next season of bachelor in paradise. then, jade confronts with chris harrison and discuss on her experience at the date recalling on the playboy nude photo. later chris took the hot seat and got closure with several of the women, and apologized to kaitlyn for making her appear in the rose ceremony rather than letting her leave gracefully.

the bloopers including a red underwear being found in the production room, some of the contestants were frightened with insects and animals during confessional interviews, and chris harrison teaches jimmy kimmel during week 3 on the preparation for the rose ceremony.",1425272400,bachelor,23
